"Name","Location","Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_1d","0040a84a","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_2d","0040a86d","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_51","0040a883","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_59","0040a8e9","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_46","0040a8f8","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_9","0040a90e","Instruction Label","","switchD_0040a814","Analysis","17","0"
"caseD_a","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_b","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_c","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_d","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_e","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_f","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_10","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_11","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_12","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_13","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_14","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_15","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_16","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_17","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_18","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_19","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_1a","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_1c","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_1e","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_1f","0040a90e","Instruction Label","","switchD_0040a814","Analysis","0","0"
